Id
Joseph Sambrook
Donna L. Hoffman
Thomas P. Novak
Wynne W. Chin
Vincenzo Esposito Vinzi
Jrg Henseler
Huiwen Wang
Christopher R. Stephens
Rangan Sukumar
Christian Bizer
Tom Heath
Tim Berners‐Lee
Jens Lehmann
Robert Isele
Max Jakob
Anja Jentzsch
Dimitris Kontokostas
Pablo N. Mendes
Sebastian Hellmann
Mohamed Morsey
Patrick van Kleef
Sören Auer
Bebo White
James Hendler
Nigel Shadbolt
Wendy Hall
Philippe Lambin
Ralph T. H. Leijenaar
Timo M. Deist
Jurgen Peerlings
Evelyn E.C. de Jong
Janita E. van Timmeren
Sebastian Sanduleanu
Ruben T. H. M. Larue
Aniek J.G. Even
Arthur Jochems
Yvonka van Wijk
Henry C. Woodruff
Johan van Soest
Tim Lustberg
Erik Roelofs
Wouter van Elmpt
André Dekker
Felix M. Mottaghy
Joachim E. Wildberger
Seán Walsh
D. Cester
Stephanie Tanadini‐Lang
Hatem Alkadhi
Bettina Baeßler
Eric von Hippel
Glen L. Urban
Qiang Yang
Yang Liu
Tianjian Chen
Yongxin Tong
Peter Kairouz
Brendan Avent
Aurélien Bellet
Mehdi Bennis
Arjun Nitin Bhagoji
Kallista Bonawitz
Zachary Charles
Graham Cormode
Rachel Cummings
Rafael G. L. D’Oliveira
Hubert Eichner
Salim El Rouayheb
David Evans
Josh Gardner
Zachary Garrett
Adrià Gascón
Badih Ghazi
Phillip B. Gibbons
Marco Gruteser
Zaïd Harchaoui
Chaoyang He
Lie He
Zhouyuan Huo
Ben Hutchinson
Justin Hsu
Martin Jaggi
Tara Javidi
Gauri Joshi
Mikhail Khodak
Jakub Konečný
Aleksandra Korolova
Farinaz Koushanfar
Sanmi Koyejo
Tancrède Lepoint
Prateek Mittal
Mehryar Mohri
Richard Nock
Ayfer Özgür
Rasmus Pagh
H. Jerry Qi
Daniel Ramage
Ramesh Raskar
Mariana Raykova
Dawn Song
Weikang Song
Sebastian U. Stich
Ziteng Sun
Ananda Theertha Suresh
Florian Tramèr
Praneeth Vepakomma
Jianyu Wang
Li Xiong
Zheng Xu
Felix X. Yu
Han Yu
Sen Zhao
Leonore Reiser
Donghui Li
Yarik Mezheritsky
Robert Müller
Emily Strait
Eva Huala
Premanand Achuthan
Wasiu Akanni
Jyothish Bhai
Carla Cummins
Astrid Gall
Leanne Haggerty
Erin Haskell
Osagie Izuogu
Sophie H. Janacek
Jimmy Kiang To
Matthew R. Laird
Ilias Lavidas
Zhicheng Liu
Jane Loveland
Benjamin Moore
Jonathan M. Mudge
Victoria Newman
Michael Nuhn
Denye Ogeh
Chuang Kee Ong
Mateus Patrício
Helen Schuilenburg
Helen Sparrow
Brandon Walts
Adam Frankish
Myrto Kostadima
Nicholas Langridge
Emily Perry
Matthew Rahtz
Gerd Gigerenzer
Peter M. Todd
Henry Brighton
Jane Ritchie
Liz Spencer
Jan Lepš
Petr Šmilauer
Cajo J. F. ter Braak
Martin Wetzels
Odekerken-Schröder
van Oppen
Martin Rosvall
Carl T. Bergstrom
Bernhard Ganter
Rudolf Wille
C. Franzke
Keiiti Aki
Paul G. Richards
Jay Shendure
Hanlee P. Ji
Tadeusz Caliński
R. G. D. Steel
J. H. Torrie
Anna Dubois
Lars‐Erik Gadde
Sara Balduzzi
Gerta Rücker
Guido Schwarzer
Jay Lee
Behrad Bagheri
Hung-An Kao
Shanhu Yang
Edzel Lapira
Lloyd W. Sumner
Alexander Amberg
David A. Barrett
Michael H. Beale
Richard D. Beger
Clare A. Daykin
Teresa W.‐M. Fan
Oliver Fiehn
Royston Goodacre
Julian L. Griffin
Thomas Hankemeier
Nigel Hardy
James M. Harnly
Richard M. Higashi
Joachim Kopka
Andrew N. Lane
John C. Lindon
Philip J. Marriott
Andrew W. Nicholls
Michael D. Reily
John J. Thaden
Mark R. Viant
Brian A. Nosek
Dorothy Bishop
Katherine S. Button
Chris Chambers
Uri Simonsohn
Eric‐Jan Wagenmakers
Jennifer J. Ware
Michael J. Curtis
S P H Alexander
Giuseppe Cirino
James R. Docherty
Christopher H. George
Mark A. Giembycz
Daniël Hoyer
Paul A. Insel
Angelo A. Izzo
Yong Ji
David J. MacEwan
Christopher G. Sobey
S. Clare Stanford
Mauro Martins Teixeira
Susan Wonnacott
Ian McDowell
Claire Newell
Réka Albert
Hawoong Jeong
David Lazer
Alex Pentland
Lada A. Adamic
Sinan Aral
Devon D. Brewer
Nicholas A. Christakis
Noshir Contractor
James H. Fowler
Myron P. Gutmann
Tony Jebara
Gary King
Michael W. Macy
Deb Roy
Marshall Van Alstyne
Richard Y. Wang
Diane M. Strong
Leo L. Pipino
Yang W. Lee
Robert Hooke
T. A. Jeeves
James S. Duncan
Nicholas Ayache
D. R. Ford
D. R. Fulkerson
Stefan Götz
Juan M. García‐Gómez
Javier Terol
Tim Williams
Shivashankar H. Nagaraj
María José Nueda
Montserrat Robles
Manuel Talón
Joaquı́n Dopazo
Ana Conesa
Matthew E. Falagas
Eleni Pitsouni
George Malietzis
Γεώργιος Παππάς
Chitu Okoli
Suzanne D. Pawlowski
Kira Schabram
G. Thamaraiselvi
A. Kaliammal
Melvin Alexander
Douglas C. Montgomery
George C. Runger
Ahmed Hosny
Chintan Parmar
Lawrence H. Schwartz
Hugo J.W.L. Aerts
Cory D. Kidd
R. J. Orr
Christopher G. Atkeson
Irfan Essa
Elizabeth D. Mynatt
Thad﻿ Starner﻿﻿
Wendy Newstetter
Kenneth Clark
Bruce A. Vendt
Kirk Smith
John Freymann
Justin Kirby
Paul Koppel
Stephen Moore
Stanley Phillips
David R. Maffitt
Michael Pringle
Lawrence Tarbox
Fred Prior
Yi Wu
Jongwoo Lim
Ming–Hsuan Yang
Sacha Epskamp
Denny Borsboom
Eiko I. Fried
Ruud Wetzels
Han L. J. van der Maas
Rogier Kievit
Morten Schmidt
Sigrún Alba Jóhannesdóttir Schmidt
Jakob Lynge Sandegaard
Véra Ehrenstein
Lars Pedersen
Henrik Toft Sørensen
Robert Rosenthal
Ralph L. Rosnow
Gene V. Glass
Barry McGaw
Marry Lee Smith
Jill Collis
Roger Hussey
Urie Bronfenbrenner
Pamela Morris
Riccardo Guidotti
Anna Monreale
Salvatore Ruggieri
Franco Turini
Fosca Giannotti
Dino Pedreschi
Mirco Nanni
Fabio Pinelli
Clare F. Macrae
Ioana Şovago
Simon J. Cottrell
Peter T. A. Galek
Patrick McCabe
Elna Pidcock
Michael Platings
G.P. Shields
Joanna S. Stevens
Matthew Towler
P.A. Wood
Stephen P. Borgatti
Ajay Mehra
Daniel J. Brass
Giuseppe Labianca
Martin G. Everett
Jeffrey C. Johnson
Alison Kitson
Gill Harvey
Brendan McCormack
Kate Seers
Angie Titchen
Filippo Radicchi
Federico Cecconi
Domenico Parisi
Nils Haug
Lukas Geyrhofer
Alessandro Londei
Elma Dervić
Amélie Desvars-Larrive
Beate Pinior
Stefan Thurner
Peter Klimek
G. J. Mitchell
Joanne Mitchell
Adam J. Berinsky
Gregory A. Huber
Gabriel Lenz
Matthew Baum
Yochai Roberts Benkler
Kelly M. Greenhill
Filippo Menczer
Miriam J. Metzger
Brendan Nyhan
Gordon Pennycook
David Rothschild
Michael Schudson
Steven A. Sloman
Cass R. Sunstein
Emily Thorson
Jonathan Zittrain
Atanas G. Atanasov
Sergey B. Zotchev
Verena M. Dirsch
İlkay Erdoğan Orhan
Maciej Banach
Judith M. Rollinger
Davide Barreca
Wolfram Weckwerth
Rudolf Bauer
Edward A. Bayer
Shaheen Majeed
Anupam Bishayee
Valery N. Bochkov
Günther K. Bonn
Nady Braidy
Franz Bučar
Alejandro Cifuentes
Grazia D’Onofrio
Michael J. Bodkin
Marc Diederich
Albena T. Dinkova‐Kostova
Thomas Efferth
Khalid El Bairi
Nicolas Arkells
Tai-Ping Fan
Bernd L. Fiebich
Michael Freissmuth
Milen I. Georgiev
Simon Gibbons
Keith M. Godfrey
Christian W. Gruber
Jag Heer
Lukas A. Huber
Elena Ibáñez
Anake Kijjoa
Anna K. Kiss
Aiping Lü
Francisco A. Macı́as
Mark J.S. Miller
Andrei Mocan
Rolf Müller
Ferdinando Nicoletti
George Perry
Valeria Pittalà
Luca Rastrelli
Michael Ristow
Gian Luigi Russo
A. Sanches‐Silva
Daniela Schuster
Helen Sheridan
Krystyna Skalicka‐Woźniak
Léandros Skaltsounis
Eduardo Sobarzo‐Sánchez
David S. Bredt
Hermann Stuppner
Antoni Sureda
Nikolay Tzvetkov
Rosa Anna Vacca
Bharat B. Aggarwal
Maurizio Battino
Francesca Giampieri
Michaël Wink
Jean-Luc Wolfender
Jianbo Xiao
Andy Wai Kan Yeung
Gérard Lizard
Michael Popp
Michael Heinrich
Ioana Ilie
Marc Stadler
Maria Daglia
Robert Verpoorte
Claudiu T. Supuran
Sudeep Pushpakom
Francesco Iorio
Patrick A. Eyers
Katherine J. Escott
Shirley Hopper
Andrew D. Wells
Andrew J. Doig
Tim Guilliams
Joanna Latimer
Christine J. McNamee
Alan Norris
Philippe Sanséau
David Cavalla
Munir Pirmohamed
Markus Reichstein
Gustau Camps‐Valls
Björn Stevens
Martin Jung
Joachim Denzler
Nuno Carvalhais
Prabhat
José M. Bioucas‐Dias
Antonio Plaza
Paul Scheunders
Nasser M. Nasrabadi
Jocelyn Chanussot
Jón Atli Benediktsson
Joseph W. Boardman
Jason Brazile
Lorenzo Bruzzone
Mathieu Fauvel
Paolo Gamba
Anthony G. Gualtieri
Mattia Marconcini
James C. Tilton
Giovanna Trianni
Chia-Chien Hsu
Brian A. Sandford
William Stafford Noble
Martin Tompa
Nan Li
Timothy L. Bailey
George M. Church
Bart De Moor
Eleazar Eskin
Alexander V. Favorov
Martin C. Frith
Yutao Fu
Vsevolod J. Makeev
Andrei A. Mironov
Giulio Pavesi
Graziano Pesole
Mireille Régnier
Nicolas Simonis
Saurabh Sinha
Gert Thijs
Jacques van Helden
Mathias Vandenbogaert
Zhiping Weng
Christopher T. Workman
Chun Ye
Zhou Zhu
Amir Gandomi
Murtaza Haider
Ming Li
Paul Vitányi
Fernando Pérez
Brian Granger
David Forsyth
Jean Ponce
Sylvain Arlot
Alain Célisse
Julian Catchen
Paul A. Hohenlohe
Susan Bassham
Angel Amores
William A. Cresko
Fred W. Allendorf
Gordon Luikart
Kimberly R. Andrews
Jeffrey M. Good
Michael R. Miller
Ole Seehausen
Roger K. Butlin
Irene Keller
Catherine E. Wagner
Janette W. Boughman
Catherine L. Peichel
Glenn‐Peter Sætre
Claudia Bank
Åke Brännström
Alan Brelsford
Chris S. Clarkson
Fabrice Eroukhmanoff
Jeffrey L. Feder
Martin C. Fischer
Andrew D. Foote
Paolo Franchini
Chris D. Jiggins
Felicity C. Jones
Anna K. Lindholm
Kay Lucek
Martine E. Maan
David A. Marques
Simon H. Martin
Blake Matthews
Joana I. Meier
Markus Möst
Michael W. Nachman
Etsuko Nonaka
Diana J. Rennison
Julia Schwarzer
Eric T. Watson
Anja M. Westram
Alex Widmer
Joshua I. Gold
Michael N. Shadlen
Godfred O. Boateng
Torsten B. Neilands
Edward A. Frongillo
Hugo Melgar‐Quiñonez
Sera L. Young
Kent G. Bailey
Robert R. Sokal
F. James Rohlf
P. H. A. Sneath
K. Ruben Gabriel
Leslie F. Marcus
Cynthia Dwork
Aaron Roth
D. Howel
H. Cooper
Larry V. Hedges
Remco Bouckaert
Timothy G. Vaughan
Joëlle Barido‐Sottani
Sebastián Duchêne
Mathieu Fourment
Alexandra Gavryushkina
Joseph Heled
Graham Jones
Denise Kühnert
Nicola De Maio
Michael Matschiner
Fábio K. Mendes
Nicola F. Müller
Huw A. Ogilvie
Louis du Plessis
Alex Popinga
Andrew Rambaut
David A. Rasmussen
Igor Siveroni
Marc A. Suchard
Chieh‐Hsi Wu
Dong Xie
Chi Zhang
Tanja Stadler
Alexei J. Drummond
Zibin Zheng
Shaoan Xie
Hong‐Ning Dai
Xiangping Chen
Huaimin Wang
Guido W. Imbens
Donald B. Rubin
Roderick J. A. Little
Nathaniel Schenker
Felicity Hasson
Sinead Keeney
Hugh McKenna
Satu Elo
Maria Kääriäinen
Outi Kanste
Tarja Pölkki
Kati Utriainen
Helvi Kyngäs
Melissa Landrum
Jennifer M. Lee
Mark J. Benson
Garth Brown
Chao Chen
Shanmuga Chitipiralla
Baoshan Gu
Jennifer Hart
Douglas Hoffman
Wonhee Jang
K. V. Karapetyan
Kenneth Katz
Chunlei Liu
Zenith Maddipatla
Adriana Malheiro
Kurt McDaniel
Michael Ovetsky
George Riley
George Zhou
J. Bradley Holmes
B Kattman
Donna Maglott
Johan T. den Dunnen
Raymond Dalgleish
Reece K. Hart
Marc S. Greenblatt
Jean McGowan‐Jordan
Anne‐Françoise Roux
Tim D. Smith
Stylianos E. Antonarakis
Peter E.M. Taschner
Keith T. Butler
Daniel W. Davies
Hugh Cartwright
Olexandr Isayev
Aron Walsh
Lior Rokach
Bracha Shapira
Paul B. Kantor
Omer Sagi
Oded Maimon
William P. Bottom
Thomas Gilovich
Dale W. Griffin
Elizabeth H. Bradley
Kelly J. Devers
Matthew Chambers
Brendan MacLean
Robert Burke
Dario Amodei
Daniel Ruderman
Bernd Fischer
Brian Pratt
Jarrett D. Egertson
Katherine Hoff
Darren Kessner
Natalie Tasman
Nicholas Shulman
Barbara Frewen
Tahmina A Baker
Mi‐Youn Brusniak
Christopher Paulse
David M. Creasy
Lisa Flashner
Kian Kani
Chris Moulding
Sean L. Seymour
Lydia M. Nuwaysir
Brent Lefebvre
Frank E. Kuhlmann
Joe Roark
Rainer Paape
Detlev Suckau
Tina Hemenway
Andreas Hühmer
James Langridge
B. Connolly
Trey Chadick
Krisztina Holly
Josh Eckels
Robert L. Moritz
Jonathan E. Katz
David B. Agus
Michael J. MacCoss
David L. Tabb
Parag Mallick
Chris Olah
Jacob Steinhardt
Paul F. Christiano
John Schulman
Dan Mané
Gabriele Paolacci
Jesse Chandler
Panagiotis G. Ipeirotis
Danielle N. Shapiro
Pam Mueller
Anindya Ghose
Fei Jiang
Yong Jiang
Hui Zhi
Yi Dong
Hao Li
Sufeng Ma
Yilong Wang
Qiang Dong
Haipeng Shen
Yongjun Wang
Imre Csiszár
János Körner
Sandra Castillo
Alejandro Villar‐Briones
Matej Orešič
Lance Gunderson
C. S. Holling
Philippe Mongeon
Adèle Paul‐Hus
Walid Saad
Mingzhe Chen
Trevor J. Ringrose
Harry Joe
Douglas B. Kitchen
Hélène Decornez
John R. Furr
Jürgen Bajorath
Per Runeson
Martin Höst
Charles Teddlie
Abbas Tashakkori
Niall Bolger
Angelina Davis
Eshkol Rafaeli
Bronwyn H. Hall
Adam B. Jaffe
Manuel Trajtenberg
Emily M. Bender
Timnit Gebru
Angelina McMillan-Major
Shmargaret Shmitchell
Folker Meyer
Daniel Paarmann
M. D'Souza
Richard E. Olson
EM Glass
Michael Kubal
Tobias Paczian
A. García-Rodríguez
Rick Stevens
Andreas Wilke
Jan Wilkening
Rudi Studer
V. Richard Benjamins
Dieter Fensel
B. Chandrasekaran
John R. Josephson
James H. McMillan
Sally Schumacher
Kazutaka Katoh
Hidehiro Toh
George Asimenos
Hiroyuki Toh
S. Barry Issenberg
William C. McGaghie
Emil Petrusa
David Lee Gordon
Ross J. Scalese
Carl Eberhard
Eric Rasche
Nitesh Turaga
Gregory Von Kuster
Nathaniel Coraor
Guruprasad Ananda
Mary Mangan
Byron J. Powell
Thomas J. Waltz
Matthew Chinman
Laura J. Damschroder
Jeffrey L. Smith
Monica M. Matthieu
Enola K. Proctor
JoAnn E. Kirchner
J. Curtis McMillen
Caitlin M. Reardon
Marilla A. Opra Widerquist
Julie C. Lowery
Norbert Marwan
M. Carmen Romano
Marko Thiel
Željko Ivezić
S. M. Kahn
J. A. Tyson
Bob Abel
Emily Elizabeth Acosta
R. A. Allsman
David Alonso
Yusra AlSayyad
Scott F. Anderson
John Andrew
J. R. P. Angel
George Z. Angeli
R. Ansari
P. Antilogus
Constanza Araujo
R. Armstrong
K. Arndt
P. Astier
É. Aubourg
Nicole Auza
T. S. Axelrod
Deborah Bard
Jeff Barr
A. Barrau
James G. Bartlett
A. Bauer
Brian Bauman
S. Baumont
Ellen Bechtol
K. Bechtol
A. C. Becker
Jacek Becla
C. Beldica
Steve Bellavia
Federica Bianco
Rahul Biswas
Guillaume Blanc
J. Blazek
R. D. Blandford
J. S. Bloom
J. R. Bogart
Tim Bond
Michael T. Booth
A. W. Borgland
K. D. Borne
James Bosch
D. Boutigny
Craig A. Brackett
Andrew Bradshaw
William Nielsen Brandt
Michael E. Brown
James S. Bullock
P. R. Burchat
D. L. Burke
G. Cagnoli
Daniel R. Calabrese
Shawn Callahan
Alice Callen
Jeffrey L. Carlin
Erin L. Carlson
Srinivasan Chandrasekharan
Glenaver Charles-Emerson
Steven R. Chesley
E. Cheu
Hsin‐Fang Chiang
J. Chiang
Carol Chirino
Derek Chow
David R. Ciardi
Charles F. Claver
J. Cohen-Tanugi
Joseph J. Cockrum
R. Coles
Andrew J. Connolly
Kem H. Cook
Asantha Cooray
Kevin R. Covey
Chris Cribbs
Wei Cui
R. M. Cutri
Philip N. Daly
Scott F. Daniel
Felipe Daruich
Guillaume Daubard
Greg Daues
William A. Dawson
Francisco Delgado
Alfred Dellapenna
Robert de Peyster
M. de Val-Borro
S. W. Digel
Peter Doherty
R. Dubois
Gregory P. Dubois-Felsmann
Josef Ďurech
Frossie Economou
T. F. Eifler
Michael Eracleous
Benjamin L. Emmons
Angelo Fausti Neto
Peter C. Verhoef
Thijs Broekhuizen
Yakov Bart
Abhi Bhattacharya
John Qi Dong
Nicolai Etienne Fabian
Michael Haenlein
Sourabh Katoch
Sumit Singh Chauhan
Vijay Kumar
Mike Uschold
Michael Grüninger
Kelly A. Brennan
Catherine L. Clark
Phillip R. Shaver
Riccardo Miotto
Fei Wang
Shuang Wang
Xiaoqian Jiang
Li Li
Brian Kidd
Ryan Dale
Andreas Sjödin
Brad Chapman
Jillian Rowe
Christopher H. Tomkins-Tinch
Renan Valieris
Johannes Köster
Amy Rutherford
Caroline E. Walters
Omkarprasad S. Vaidya
Sushil Kumar
Thomas W. Malone
Kevin Crowston
Roger Guimerà
León Danon
Francesc Giralt
Qi Zhang
Cheng Lü
Raouf Boutaba
Andreas Kamilaris
Francesc X. Prenafeta‐Boldú
F. Maxwell Harper
Joseph A. Konstan
Cai-Nicolas Ziegler
Sean M. McNee
Georg Lausen
Jonathan L. Herlocker
John Riedl
Claude Sammut
Geoffrey I. Webb
W.D. Penny
Karl Friston
John Ashburner
Stefan J. Kiebel
Nichols Thomas
Wanda J. Orlikowski
Jack J. Baroudi
Calogero Iacono
Susan Scott
Andre Esteva
Alexandre Robicquet
Bharath Ramsundar
Volodymyr Kuleshov
Mark A. DePristo
Katherine Chou
Claire Cui
Greg S. Corrado
Sebastian Thrun
Jeff Dean
Karan Singhal
Shekoofeh Azizi
Tao Tu
S. Sara Mahdavi
Jason Lee
Hyung Won Chung
Nathan Scales
Ajay Kumar Tanwani
Heather Cole-Lewis
Stephen Pfohl
Perry W. Payne
Martin Seneviratne
Paul Gamble
Christopher Kelly
Abubakr Babiker
Nathanael Schärli
Aakanksha Chowdhery
P. Mansfield
Dina Demner‐Fushman
Blaise Agüera y Arcas
Dale R. Webster
Yossi Matias
Juraj Gottweis
Nenad Tomašev
Yun Liu
Alvin Rajkomar
Joëlle Barral
Christopher Semturs
Alan Karthikesalingam
Vivek Natarajan
Mustafa Suleyman
Dominic King
Mim Hastie
Kristupas Repečka
Fran McDade
Akhil Kamath
Ayan Banerjee
Yunhai Luo
Dave Rogers
Angela N. Brooks
Richard P. Bagozzi
Youjae Yi
John E. Allison
K. Amako
J. Apostolakis
P. Arce
M. Asai
Tsukasa Aso
E. Bagli
A. Bagulya
Sw. Banerjee
Guy Barrand
Belinda R. Beck
A. Bogdanov
D. Brandt
Jeremy M. C. Brown
H. Burkhardt
Philippe Canal
D. Cano‐Ott
Stéphane Chauvie
K. Cho
G.A.P. Cirrone
Gene Cooperman
M. A. Cortés‐Giraldo
G. Cosmo
G. Cuttone
G. Depaola
L. Desorgher
X. Dong
A. Dotti
V. D. Elvira
G. Folger
Z. Francis
A. Galoyan
Laurent Garnier
Marek Gayer
K. Genser
V. Grichine
Susanna Guatelli
P. Guèye
P. Gumplinger
A. Howard
I. Hřivnáčová
S. H. Hwang
S. Incerti
A. Ivanchenko
V. Ivanchenko
F.W. Jones
S. Y. Jun
P Kaitaniemi
Nicolas A. Karakatsanis
M. Karamitros
M.H. Kelsey
Akira Kimura
T. Koi
H. Kurashige
Anton Lechner
S.B. Lee
F. Longo
M. Maire
Davide Mancusi
A. Mantero
E. Mendoza
Benjamin J. Morgan
K. Murakami
T Nikitina
L. Pandola
P. Paprocki
Joseph Perl
Ivan Petrović
Maria Grazia Pia
Witold Pokorski
J. M. Quesada
M. Raine
M.A. Reis
A. Ribon
Aleksandra Ristic‐Fira
F. Romanò
G. Russo
G. Santin
T. Sasaki
D Sawkey
B. K. Shin
I. I. Strakovsky
A. Taborda
S. Tanaka
B. Tomé
T. Toshito
H.N. Tran
P.R. Truscott
László Urbán
V. Uzhinsky
J.M. Verbeke
M. Verderi
B. Wendt
H. Wenzel
D. H. Wright
D. Wright
Tomohiro Yamashita
J. Yarba
H. Yoshida
Noémie Elgrishi
Kelley Rountree
Brian D. McCarthy
Eric S. Rountree
Thomas T. Eisenhart
Jillian L. Dempsey
Paul Cobb
Jere Confrey
Andrea A. diSessa
Richard Lehrer
Leona Schauble
Ninareh Mehrabi
Fred Morstatter
Nripsuta Ani Saxena
Kristina Lerman
Aram Galstyan
Jundong Li
Kewei Cheng
Suhang Wang
Robert P. Treviño
Jiliang Tang
Huan Liu
Cory Merow
Matthew J. Smith
John A. Silander
Barry J. Maron
Jeffrey A. Towbin
Gaetano Thiene
Charles Antzelevitch
Domenico Corrado
Donna K. Arnett
Arthur J. Moss
Christine E. Seidman
James B. Young
Ritu Agarwal
Jayesh Prasad
Meng Ma
David. Nachmias
Chava Nachmias
Michael Tomz
Jason Wittenberg
James Honaker
Anne M. Joseph
Kenneth F. Scheve
Nathan Eagle
Li Weng
Alessandro Flammini
Alessandro Vespignani
Eyal Peer
Gordon Andrew
Zak Evernden
Ekaterina Damer
Gueorgi Kossinets
Avrim Blum
Pat Langley
Noam Nisan
Christos H. Papadimitriou
Éva Tardos
Bernhard von Stengel
Vijay V. Vazirani
Bruno Codenotti
Michael Kearns
Yevgeniy Dodis
James Schummer
Liad Blumrosen
Ron Lavi
Jason D. Hartline
Joan Feigenbaum
Kamal Jain
David C. Parkes
Tim Roughgarden
Berthold Vöcking
Ramesh Johari
Ramez Elmasri
Shamkant B. Navathe
Zewen Li
Fan Liu
Wenjie Yang
Shouheng Peng
Jun Zhou
Kenneth P. Burnham
David R. Anderson
Ilseung Cho
Marcela Tavares de Souza
Michelly Dias da Silva
Rachel de Carvalho
Miriam Leah Zelditch
Donald L. Swiderski
H. David Sheets
William L. Fink
Dustin Tingley
Teppei Yamamoto
K. Hirose
Luke Keele
Kosuke Imai
Margaret E. Roberts
Brandon Stewart
Christopher Lucas
Jetson Leder‐Luis
Shana Kushner Gadarian
Bethany Albertson
David G. Rand
John Towns
T.M. Cockerill
Maytal Dahan
Ian Foster
Kelly Gaither
Andrew Grimshaw
Victor Hazlewood
Scott Lathrop
Dave Lifka
Gregory D. Peterson
Ralph Roskies
James R. Scott
Nancy Wilkins‐Diehr
Ann Chervenak
Carl Kesselman
C. Salisbury
Steven Tuecke
Jeremy Jones
Duncan Hunter
Christian von Mering
Roland Krause
‎Berend Snel
Michael Cornell
Stanley Fields
Chao‐Gan Yan
Xindi Wang
Xi‐Nian Zuo
Yu‐Feng Zang
Thaddeus D. Ladd
Fedor Jelezko
Raymond Laflamme
Yasunobu Nakamura
C. Monroe
Jeremy L. O’Brien
Alexander Osterwalder
Yves Pigneur
Christopher L. Tucci
Allan Afuah
Peter J. Diggle
Patrick J. Heagerty
Kung‐Yee Liang
Scott L. Zeger
Charles R. Ebersole
Alexander C. DeHaven
David Thomas Mellor
Michael Lee
Joseph Lau
Norma Terrin
Christopher H. Schmid
Ingram Olkin
Eytan Adar
Eytan Bakshy
Itamar Rosenn
Cameron Marlow
Arun Sundararajan
Kevin Lewis
Jason Kaufman
Marco Gonzalez
Andreas Wimmer
Peter R. Monge
Robert Willer
Waseem Rawat
Zenghui Wang
Jason Seawright
John Gerring
Fabien Arnaud
Cécile Pignol
Pierre Stéphan
Anne‐Lise Develle
Philippe Sabatier
Olivier Evrard
Brice Mourier
Maxime Debret
Cécile Grobois
Laurent Millet
Damien Rius
Dominique Marguerie
Mathias Rouan
Elodie Godinho
Bruno Galabertier
Arnaud Caillo
Winter Mason
Siddharth Suri
Chee-Yee Chong
Sanjeev Kumar
K. Anders Ericsson
Neil Charness
Paul J. Feltovich
Robert R. Hoffman
Vito Albino
Umberto Berardi
Rosa Maria Dangelico
Florian Rohart
Benoît Gautier
Amrit Singh
Kim‐Anh Lê Cao
Róbert Langer
David A. Tirrell
Alan Mislove
Massimiliano Marcon
Krishna P. Gummadi
Peter Druschel
Bobby Bhattacharjee
Meeyoung Cha
Hamed Haddadi
Fabrí­cio Benevenuto
Wei Ren
Randal W. Beard
Ella Atkins
James Hadfield
Colin Megill
Sidney M. Bell
John Huddleston
Barney Potter
Charlton Callender
Pavel Sagulenko
Trevor Bedford
Richard A. Neher
Detlof von Winterfeldt
Ward Edwards
Cristian S. Calude
Hermann Maurer
Arto Salomaa
David W. Hosmer
Stanley Lemeshow
Susanne May
Jim Gray
Andreas Reuter
Teague Sterling
John J. Irwin
Ritendra Datta
Dhiraj Joshi
Jia Li
James Z. Wang
Chrysanthos Dellarocas
Xiaoquan Zhang
Neveen Awad
Stephen Yip
Jeffrey Hightower
G. Borriello
Paul Covington
Jay Adams
Emre Sargin
Richard Frankham
Jonathan D. Ballou
David A. Briscoe
Karina H. McInnes
Robert S. Fisher
J. Helen Cross
Jacqueline A. French
Norimichi Higurashi
Édouard Hirsch
Floor E. Jansen
Lieven Lagae
Solomon L. Moshé
Jukka Peltola
Eliane Roulet Perez
Ingrid E. Scheffer
Sameer M. Zuberi
Karen Schuchardt
Brett Didier
Todd Elsethagen
Lisong Sun
Vidhya Gurumoorthi
Jared Chase
Jun Z. Li
Theresa L. Windus
Benjamin P. Pritchard
Doaa Altarawy
Tara Gibson
Peter Kerpedjiev
Nezar Abdennur
Fritz Lekschas
Chuck McCallum
Kasper Dinkla
Hendrik Strobelt
Jacob M. Luber
Scott Ouellette
Alaleh Azhir
Nikhil Kumar
Jeewon Hwang
Soohyun Lee
B. Alver
Hanspeter Pfister
Leonid A. Mirny
Peter J. Park
Dong Zhang
Fangluan Gao
Ivan Jakovlić
Hong Zou
Jin Zhang
Wen X. Li
Gui T. Wang
Gretchen Rossman
Sharon F. Rallis
James Sneyd
Guy Theraula
EricVE Bonabeau
Jean‐Louis Deneubourg
Nigel R. Franks
Donald R. Cooper
Pamela S. Schindler
Наоми Орескес
Kristin Shrader‐Frechette
Kenneth Belitz
Chaoyun Zhang
Paul Patras
Bob Rosenfeld
Wayne W. Daniel
Jesús Bobadilla
Fernando Ortega
Antonio Hernando
Abraham Gutiérrez
Prithviraj Sen
Galileo Namata
Mustafa Bilgic
Lise Getoor
Brian Gallagher
Tina Eliassi‐Rad
Klaus G. Witz
Dennis E. Hinkle
William Wiersma
Stephen G. Jurs
Andrew Briggs
Karl Claxton
Mark Sculpher
An Gie Yong
Sean Pearce
Ziad Obermeyer
Ezekiel Emanuel
David Liben‐Nowell
Jon Kleinberg
Daniel Gruhl
R. Guha
Andrew Tomkins
David Easley
Lars Bäckström
D.P. Huttenlocher
Xiangyang Lan
Jure Leskovec
